NomeGrafo,Vertice,CentralidadeIntermediacao
DI-NEARP-n240-Q16k,97,0
DI-NEARP-n240-Q16k,98,7276
DI-NEARP-n240-Q16k,99,0
DI-NEARP-n240-Q16k,100,0
DI-NEARP-n240-Q16k,101,7622
DI-NEARP-n240-Q16k,102,7452
DI-NEARP-n240-Q16k,103,0
DI-NEARP-n240-Q16k,104,1066
DI-NEARP-n240-Q16k,105,13802
DI-NEARP-n240-Q16k,106,1710
DI-NEARP-n240-Q16k,107,7714
DI-NEARP-n240-Q16k,108,1982
DI-NEARP-n240-Q16k,109,3486
DI-NEARP-n240-Q16k,110,0
DI-NEARP-n240-Q16k,111,4806
DI-NEARP-n240-Q16k,112,4448
DI-NEARP-n240-Q16k,113,744
DI-NEARP-n240-Q16k,114,0
DI-NEARP-n240-Q16k,115,3308
DI-NEARP-n240-Q16k,116,968
DI-NEARP-n240-Q16k,117,0
DI-NEARP-n240-Q16k,118,18834
DI-NEARP-n240-Q16k,119,2528
DI-NEARP-n240-Q16k,120,1620
DI-NEARP-n240-Q16k,121,3320
DI-NEARP-n240-Q16k,122,15916
DI-NEARP-n240-Q16k,123,24534
DI-NEARP-n240-Q16k,124,24350
DI-NEARP-n240-Q16k,125,2242
DI-NEARP-n240-Q16k,126,0
DI-NEARP-n240-Q16k,127,3416
DI-NEARP-n240-Q16k,128,34210
DI-NEARP-n240-Q16k,129,20498
DI-NEARP-n240-Q16k,130,7416
DI-NEARP-n240-Q16k,131,6252
DI-NEARP-n240-Q16k,132,22004
DI-NEARP-n240-Q16k,133,14074
DI-NEARP-n240-Q16k,134,47332
DI-NEARP-n240-Q16k,135,14674
DI-NEARP-n240-Q16k,136,1122
DI-NEARP-n240-Q16k,137,16100
DI-NEARP-n240-Q16k,138,23508
DI-NEARP-n240-Q16k,139,44156
DI-NEARP-n240-Q16k,140,6494
DI-NEARP-n240-Q16k,141,986
DI-NEARP-n240-Q16k,142,42330
DI-NEARP-n240-Q16k,143,4876
DI-NEARP-n240-Q16k,144,17602
DI-NEARP-n240-Q16k,145,29220
DI-NEARP-n240-Q16k,146,10240
DI-NEARP-n240-Q16k,147,22788
DI-NEARP-n240-Q16k,148,16698
DI-NEARP-n240-Q16k,149,14992
DI-NEARP-n240-Q16k,150,5428
DI-NEARP-n240-Q16k,151,6552
DI-NEARP-n240-Q16k,152,43116
DI-NEARP-n240-Q16k,153,6566
DI-NEARP-n240-Q16k,154,3632
DI-NEARP-n240-Q16k,155,88
DI-NEARP-n240-Q16k,156,326
DI-NEARP-n240-Q16k,157,14268
DI-NEARP-n240-Q16k,158,1122
DI-NEARP-n240-Q16k,159,0
DI-NEARP-n240-Q16k,160,3330
DI-NEARP-n240-Q16k,161,20612
DI-NEARP-n240-Q16k,162,19438
DI-NEARP-n240-Q16k,163,0
DI-NEARP-n240-Q16k,164,1122
DI-NEARP-n240-Q16k,165,2936
DI-NEARP-n240-Q16k,166,1860
DI-NEARP-n240-Q16k,167,6
DI-NEARP-n240-Q16k,168,0
DI-NEARP-n240-Q16k,169,11174
DI-NEARP-n240-Q16k,170,21102
DI-NEARP-n240-Q16k,171,0
DI-NEARP-n240-Q16k,172,2242
DI-NEARP-n240-Q16k,173,0
DI-NEARP-n240-Q16k,174,4226
DI-NEARP-n240-Q16k,175,7154
DI-NEARP-n240-Q16k,176,46424
DI-NEARP-n240-Q16k,177,68
DI-NEARP-n240-Q16k,178,8014
DI-NEARP-n240-Q16k,179,63776
DI-NEARP-n240-Q16k,180,69156
DI-NEARP-n240-Q16k,181,8296
DI-NEARP-n240-Q16k,182,8244
DI-NEARP-n240-Q16k,183,4056
DI-NEARP-n240-Q16k,184,3622
DI-NEARP-n240-Q16k,185,6928
DI-NEARP-n240-Q16k,186,4516
DI-NEARP-n240-Q16k,187,5662
DI-NEARP-n240-Q16k,188,14508
DI-NEARP-n240-Q16k,189,9180
DI-NEARP-n240-Q16k,190,10082
DI-NEARP-n240-Q16k,191,6052
DI-NEARP-n240-Q16k,192,17992
DI-NEARP-n240-Q16k,193,16336
DI-NEARP-n240-Q16k,194,14974
DI-NEARP-n240-Q16k,195,9444
DI-NEARP-n240-Q16k,196,4438
DI-NEARP-n240-Q16k,197,82
DI-NEARP-n240-Q16k,198,61040
DI-NEARP-n240-Q16k,199,13094
DI-NEARP-n240-Q16k,200,6486
DI-NEARP-n240-Q16k,201,42560
DI-NEARP-n240-Q16k,202,43994
DI-NEARP-n240-Q16k,203,3672
DI-NEARP-n240-Q16k,204,5084
DI-NEARP-n240-Q16k,205,0
DI-NEARP-n240-Q16k,206,7540
DI-NEARP-n240-Q16k,207,8428
DI-NEARP-n240-Q16k,208,10150
DI-NEARP-n240-Q16k,209,13404
DI-NEARP-n240-Q16k,210,3052
DI-NEARP-n240-Q16k,211,29568
DI-NEARP-n240-Q16k,212,41418
DI-NEARP-n240-Q16k,213,24890
DI-NEARP-n240-Q16k,214,13442
DI-NEARP-n240-Q16k,215,14022
DI-NEARP-n240-Q16k,216,750
DI-NEARP-n240-Q16k,217,3702
DI-NEARP-n240-Q16k,218,6600
DI-NEARP-n240-Q16k,219,8618
DI-NEARP-n240-Q16k,220,4242
DI-NEARP-n240-Q16k,221,68
DI-NEARP-n240-Q16k,222,2140
DI-NEARP-n240-Q16k,223,1070
DI-NEARP-n240-Q16k,224,712
DI-NEARP-n240-Q16k,225,4758
DI-NEARP-n240-Q16k,226,4122
DI-NEARP-n240-Q16k,227,6702
DI-NEARP-n240-Q16k,228,7864
DI-NEARP-n240-Q16k,229,31716
DI-NEARP-n240-Q16k,230,14018
DI-NEARP-n240-Q16k,231,23120
DI-NEARP-n240-Q16k,232,22192
DI-NEARP-n240-Q16k,233,8780
DI-NEARP-n240-Q16k,234,3788
DI-NEARP-n240-Q16k,235,3382
DI-NEARP-n240-Q16k,236,366
DI-NEARP-n240-Q16k,237,8890
DI-NEARP-n240-Q16k,238,9040
DI-NEARP-n240-Q16k,239,11810
DI-NEARP-n240-Q16k,240,812
DI-NEARP-n240-Q16k,241,4282
DI-NEARP-n240-Q16k,242,4412
DI-NEARP-n240-Q16k,243,3542
DI-NEARP-n240-Q16k,244,2914
DI-NEARP-n240-Q16k,245,67770
DI-NEARP-n240-Q16k,246,39524
DI-NEARP-n240-Q16k,247,13564
DI-NEARP-n240-Q16k,248,19378
DI-NEARP-n240-Q16k,249,5608
DI-NEARP-n240-Q16k,250,11110
DI-NEARP-n240-Q16k,251,21440
DI-NEARP-n240-Q16k,252,26614
DI-NEARP-n240-Q16k,253,36218
DI-NEARP-n240-Q16k,254,768
DI-NEARP-n240-Q16k,255,3112
DI-NEARP-n240-Q16k,256,0
DI-NEARP-n240-Q16k,257,3266
DI-NEARP-n240-Q16k,258,2138
DI-NEARP-n240-Q16k,259,5070
DI-NEARP-n240-Q16k,260,3670
DI-NEARP-n240-Q16k,261,1070
DI-NEARP-n240-Q16k,262,2606
DI-NEARP-n240-Q16k,263,5678
DI-NEARP-n240-Q16k,264,28648
DI-NEARP-n240-Q16k,265,6720
DI-NEARP-n240-Q16k,266,2878
DI-NEARP-n240-Q16k,267,1070
DI-NEARP-n240-Q16k,268,1062
DI-NEARP-n240-Q16k,269,2648
DI-NEARP-n240-Q16k,270,4158
DI-NEARP-n240-Q16k,271,2312
DI-NEARP-n240-Q16k,272,37938
DI-NEARP-n240-Q16k,273,39624
DI-NEARP-n240-Q16k,274,10272
DI-NEARP-n240-Q16k,275,2840
DI-NEARP-n240-Q16k,276,2288
DI-NEARP-n240-Q16k,277,3084
DI-NEARP-n240-Q16k,278,6594
DI-NEARP-n240-Q16k,279,33008
DI-NEARP-n240-Q16k,280,11876
DI-NEARP-n240-Q16k,281,162
DI-NEARP-n240-Q16k,282,12164
DI-NEARP-n240-Q16k,283,13614
DI-NEARP-n240-Q16k,284,11444
DI-NEARP-n240-Q16k,285,35582
DI-NEARP-n240-Q16k,286,18616
DI-NEARP-n240-Q16k,287,12532
DI-NEARP-n240-Q16k,288,5468
DI-NEARP-n240-Q16k,289,36792
DI-NEARP-n240-Q16k,290,60686
DI-NEARP-n240-Q16k,291,5762
DI-NEARP-n240-Q16k,292,6466
DI-NEARP-n240-Q16k,293,17342
DI-NEARP-n240-Q16k,294,19400
DI-NEARP-n240-Q16k,295,570
DI-NEARP-n240-Q16k,296,24982
DI-NEARP-n240-Q16k,297,3706
DI-NEARP-n240-Q16k,298,5444
DI-NEARP-n240-Q16k,299,0
DI-NEARP-n240-Q16k,300,4824
DI-NEARP-n240-Q16k,301,1610
DI-NEARP-n240-Q16k,302,5202
DI-NEARP-n240-Q16k,303,732
DI-NEARP-n240-Q16k,304,3400
DI-NEARP-n240-Q16k,305,242
DI-NEARP-n240-Q16k,306,5044
DI-NEARP-n240-Q16k,307,6414
DI-NEARP-n240-Q16k,308,2012
DI-NEARP-n240-Q16k,309,3094
DI-NEARP-n240-Q16k,310,7744
DI-NEARP-n240-Q16k,311,1340
DI-NEARP-n240-Q16k,312,2216
DI-NEARP-n240-Q16k,313,1690
DI-NEARP-n240-Q16k,314,1406
DI-NEARP-n240-Q16k,315,8124
DI-NEARP-n240-Q16k,316,3686
DI-NEARP-n240-Q16k,317,30926
DI-NEARP-n240-Q16k,318,27462
DI-NEARP-n240-Q16k,319,36096
DI-NEARP-n240-Q16k,320,30336
DI-NEARP-n240-Q16k,321,1116
DI-NEARP-n240-Q16k,322,856
DI-NEARP-n240-Q16k,323,900
DI-NEARP-n240-Q16k,324,18006
DI-NEARP-n240-Q16k,325,28800
DI-NEARP-n240-Q16k,326,7890
DI-NEARP-n240-Q16k,327,144
DI-NEARP-n240-Q16k,328,2240
DI-NEARP-n240-Q16k,329,2534
DI-NEARP-n240-Q16k,330,3208
DI-NEARP-n240-Q16k,331,4908
DI-NEARP-n240-Q16k,332,2952
DI-NEARP-n240-Q16k,333,1100
DI-NEARP-n240-Q16k,334,24170
DI-NEARP-n240-Q16k,335,546
DI-NEARP-n240-Q16k,336,4632
DI-NEARP-n240-Q16k,337,9406
DI-NEARP-n240-Q16k,338,1054
DI-NEARP-n240-Q16k,339,20978
DI-NEARP-n240-Q16k,340,1562
DI-NEARP-n240-Q16k,341,13216
DI-NEARP-n240-Q16k,342,10426
DI-NEARP-n240-Q16k,343,1672
DI-NEARP-n240-Q16k,344,3414
DI-NEARP-n240-Q16k,345,3472
DI-NEARP-n240-Q16k,346,68
DI-NEARP-n240-Q16k,347,12150
DI-NEARP-n240-Q16k,348,9138
DI-NEARP-n240-Q16k,349,3716
DI-NEARP-n240-Q16k,350,48
DI-NEARP-n240-Q16k,351,1122
DI-NEARP-n240-Q16k,352,8682
DI-NEARP-n240-Q16k,353,8456
DI-NEARP-n240-Q16k,354,2750
DI-NEARP-n240-Q16k,355,5086
DI-NEARP-n240-Q16k,356,6338
DI-NEARP-n240-Q16k,357,4064
DI-NEARP-n240-Q16k,358,4246
DI-NEARP-n240-Q16k,359,3244
DI-NEARP-n240-Q16k,360,15684
DI-NEARP-n240-Q16k,361,732
DI-NEARP-n240-Q16k,362,0
DI-NEARP-n240-Q16k,363,0
DI-NEARP-n240-Q16k,364,14776
DI-NEARP-n240-Q16k,365,11048
DI-NEARP-n240-Q16k,366,416
DI-NEARP-n240-Q16k,367,2554
DI-NEARP-n240-Q16k,368,9478
DI-NEARP-n240-Q16k,369,15694
DI-NEARP-n240-Q16k,370,8356
DI-NEARP-n240-Q16k,371,2668
DI-NEARP-n240-Q16k,372,19702
DI-NEARP-n240-Q16k,373,7584
DI-NEARP-n240-Q16k,374,7400
DI-NEARP-n240-Q16k,375,30
DI-NEARP-n240-Q16k,376,1034
DI-NEARP-n240-Q16k,377,8248
DI-NEARP-n240-Q16k,378,6860
DI-NEARP-n240-Q16k,379,4020
DI-NEARP-n240-Q16k,380,34724
DI-NEARP-n240-Q16k,381,18338
DI-NEARP-n240-Q16k,382,376
DI-NEARP-n240-Q16k,383,1296
DI-NEARP-n240-Q16k,384,848
DI-NEARP-n240-Q16k,385,3916
DI-NEARP-n240-Q16k,386,16524
DI-NEARP-n240-Q16k,387,6398
DI-NEARP-n240-Q16k,388,5270
DI-NEARP-n240-Q16k,389,11710
DI-NEARP-n240-Q16k,390,15784
DI-NEARP-n240-Q16k,391,1152
DI-NEARP-n240-Q16k,392,12338
DI-NEARP-n240-Q16k,393,14410
DI-NEARP-n240-Q16k,394,20026
DI-NEARP-n240-Q16k,395,19362
DI-NEARP-n240-Q16k,396,4046
DI-NEARP-n240-Q16k,397,8532
DI-NEARP-n240-Q16k,398,9986
DI-NEARP-n240-Q16k,399,8422
DI-NEARP-n240-Q16k,400,16864
DI-NEARP-n240-Q16k,401,43808
DI-NEARP-n240-Q16k,402,45558
DI-NEARP-n240-Q16k,403,14980
DI-NEARP-n240-Q16k,404,5132
DI-NEARP-n240-Q16k,405,5636
DI-NEARP-n240-Q16k,406,26928
DI-NEARP-n240-Q16k,407,13856
DI-NEARP-n240-Q16k,408,3018
DI-NEARP-n240-Q16k,409,1122
DI-NEARP-n240-Q16k,410,17844
DI-NEARP-n240-Q16k,411,6020
DI-NEARP-n240-Q16k,412,1290
DI-NEARP-n240-Q16k,413,8090
DI-NEARP-n240-Q16k,414,5154
DI-NEARP-n240-Q16k,415,3200
DI-NEARP-n240-Q16k,416,1718
DI-NEARP-n240-Q16k,417,23210
DI-NEARP-n240-Q16k,418,24642
DI-NEARP-n240-Q16k,419,2660
DI-NEARP-n240-Q16k,420,3636
DI-NEARP-n240-Q16k,421,21792
DI-NEARP-n240-Q16k,422,4076
DI-NEARP-n240-Q16k,423,16920
DI-NEARP-n240-Q16k,424,11252
DI-NEARP-n240-Q16k,425,238
DI-NEARP-n240-Q16k,426,10046
DI-NEARP-n240-Q16k,427,5878
DI-NEARP-n240-Q16k,428,6474
DI-NEARP-n240-Q16k,429,2388
DI-NEARP-n240-Q16k,430,11636
DI-NEARP-n240-Q16k,431,22228
DI-NEARP-n240-Q16k,432,17360
DI-NEARP-n240-Q16k,433,614
DI-NEARP-n240-Q16k,434,536
DI-NEARP-n240-Q16k,435,672
DI-NEARP-n240-Q16k,436,23560
DI-NEARP-n240-Q16k,437,2120
DI-NEARP-n240-Q16k,438,1018
DI-NEARP-n240-Q16k,439,13298
DI-NEARP-n240-Q16k,440,4432
DI-NEARP-n240-Q16k,441,40766
DI-NEARP-n240-Q16k,442,24278
DI-NEARP-n240-Q16k,443,2780
DI-NEARP-n240-Q16k,444,8576
DI-NEARP-n240-Q16k,445,3818
DI-NEARP-n240-Q16k,446,6618
DI-NEARP-n240-Q16k,447,6742
DI-NEARP-n240-Q16k,448,14874
DI-NEARP-n240-Q16k,449,9846
DI-NEARP-n240-Q16k,450,7106
DI-NEARP-n240-Q16k,451,18372
DI-NEARP-n240-Q16k,452,1772
DI-NEARP-n240-Q16k,453,18532
DI-NEARP-n240-Q16k,454,12902
DI-NEARP-n240-Q16k,455,11170
DI-NEARP-n240-Q16k,456,2934
DI-NEARP-n240-Q16k,457,4996
DI-NEARP-n240-Q16k,458,2682
DI-NEARP-n240-Q16k,459,0
DI-NEARP-n240-Q16k,460,9520
DI-NEARP-n240-Q16k,461,9088
DI-NEARP-n240-Q16k,462,9838
DI-NEARP-n240-Q16k,463,7740
DI-NEARP-n240-Q16k,464,18350
DI-NEARP-n240-Q16k,465,7248
DI-NEARP-n240-Q16k,466,7012
DI-NEARP-n240-Q16k,467,966
DI-NEARP-n240-Q16k,468,1726
DI-NEARP-n240-Q16k,469,25672
DI-NEARP-n240-Q16k,470,5238
DI-NEARP-n240-Q16k,471,52454
DI-NEARP-n240-Q16k,472,40954
DI-NEARP-n240-Q16k,473,10880
DI-NEARP-n240-Q16k,474,36286
DI-NEARP-n240-Q16k,475,6672
DI-NEARP-n240-Q16k,476,5196
DI-NEARP-n240-Q16k,477,24974
DI-NEARP-n240-Q16k,478,3470
DI-NEARP-n240-Q16k,479,3200
DI-NEARP-n240-Q16k,480,10020
DI-NEARP-n240-Q16k,481,9128
DI-NEARP-n240-Q16k,482,2970
DI-NEARP-n240-Q16k,483,4628
DI-NEARP-n240-Q16k,484,5756
DI-NEARP-n240-Q16k,485,550
DI-NEARP-n240-Q16k,486,354
DI-NEARP-n240-Q16k,487,14006
DI-NEARP-n240-Q16k,488,16
DI-NEARP-n240-Q16k,489,818
DI-NEARP-n240-Q16k,490,4400
DI-NEARP-n240-Q16k,491,6138
DI-NEARP-n240-Q16k,492,4958
DI-NEARP-n240-Q16k,493,7678
DI-NEARP-n240-Q16k,494,3894
DI-NEARP-n240-Q16k,495,10298
DI-NEARP-n240-Q16k,496,6506
DI-NEARP-n240-Q16k,497,16844
DI-NEARP-n240-Q16k,498,13572
DI-NEARP-n240-Q16k,499,23178
DI-NEARP-n240-Q16k,500,3668
DI-NEARP-n240-Q16k,501,32364
DI-NEARP-n240-Q16k,502,37758
DI-NEARP-n240-Q16k,503,4302
DI-NEARP-n240-Q16k,504,5714
DI-NEARP-n240-Q16k,505,2112
DI-NEARP-n240-Q16k,506,1068
DI-NEARP-n240-Q16k,507,1456
DI-NEARP-n240-Q16k,508,12352
DI-NEARP-n240-Q16k,509,12540
DI-NEARP-n240-Q16k,510,12346
DI-NEARP-n240-Q16k,511,34798
DI-NEARP-n240-Q16k,512,10586
DI-NEARP-n240-Q16k,513,21152
DI-NEARP-n240-Q16k,514,24246
DI-NEARP-n240-Q16k,515,3638
DI-NEARP-n240-Q16k,516,1936
DI-NEARP-n240-Q16k,517,2242
DI-NEARP-n240-Q16k,518,5028
DI-NEARP-n240-Q16k,519,6928
DI-NEARP-n240-Q16k,520,14800
DI-NEARP-n240-Q16k,521,12818
DI-NEARP-n240-Q16k,522,236
DI-NEARP-n240-Q16k,523,1686
DI-NEARP-n240-Q16k,524,2604
DI-NEARP-n240-Q16k,525,3314
DI-NEARP-n240-Q16k,526,1956
DI-NEARP-n240-Q16k,527,7154
DI-NEARP-n240-Q16k,528,1122
DI-NEARP-n240-Q16k,529,494
DI-NEARP-n240-Q16k,530,19370
DI-NEARP-n240-Q16k,531,13890
DI-NEARP-n240-Q16k,532,5512
DI-NEARP-n240-Q16k,533,0
DI-NEARP-n240-Q16k,534,2212
DI-NEARP-n240-Q16k,535,744
DI-NEARP-n240-Q16k,536,39476
DI-NEARP-n240-Q16k,537,4392
DI-NEARP-n240-Q16k,538,9972
DI-NEARP-n240-Q16k,539,22006
DI-NEARP-n240-Q16k,540,1030
DI-NEARP-n240-Q16k,541,31244
DI-NEARP-n240-Q16k,542,9410
DI-NEARP-n240-Q16k,543,9464
DI-NEARP-n240-Q16k,544,11038
DI-NEARP-n240-Q16k,545,14270
DI-NEARP-n240-Q16k,546,15314
DI-NEARP-n240-Q16k,547,2066
DI-NEARP-n240-Q16k,548,9592
DI-NEARP-n240-Q16k,549,2634
DI-NEARP-n240-Q16k,550,2240
DI-NEARP-n240-Q16k,551,9282
DI-NEARP-n240-Q16k,552,6676
DI-NEARP-n240-Q16k,553,3238
DI-NEARP-n240-Q16k,554,7008
DI-NEARP-n240-Q16k,555,1206
DI-NEARP-n240-Q16k,556,1926
DI-NEARP-n240-Q16k,557,12242
DI-NEARP-n240-Q16k,558,2046
DI-NEARP-n240-Q16k,559,5620
DI-NEARP-n240-Q16k,560,10436
DI-NEARP-n240-Q16k,561,420
DI-NEARP-n240-Q16k,562,6400
DI-NEARP-n240-Q16k,563,4450
mgval_0.50_10D,1,0
mgval_0.50_10D,2,12
mgval_0.50_10D,3,92
mgval_0.50_10D,4,2
mgval_0.50_10D,5,0
mgval_0.50_10D,6,94
mgval_0.50_10D,7,104
mgval_0.50_10D,8,78
mgval_0.50_10D,9,250
mgval_0.50_10D,10,4
mgval_0.50_10D,11,603
mgval_0.50_10D,12,621
mgval_0.50_10D,13,802
mgval_0.50_10D,14,757
mgval_0.50_10D,15,839
mgval_0.50_10D,16,162
mgval_0.50_10D,17,8
mgval_0.50_10D,18,330
mgval_0.50_10D,19,587
mgval_0.50_10D,20,6
mgval_0.50_10D,21,111
mgval_0.50_10D,22,0
mgval_0.50_10D,23,411
mgval_0.50_10D,24,88
mgval_0.50_10D,25,65
mgval_0.50_10D,26,585
mgval_0.50_10D,27,197
mgval_0.50_10D,28,76
mgval_0.50_10D,29,48
mgval_0.50_10D,30,671
mgval_0.50_10D,31,403
mgval_0.50_10D,32,187
mgval_0.50_10D,33,142
mgval_0.50_10D,34,666
mgval_0.50_10D,35,173
mgval_0.50_10D,36,300
mgval_0.50_10D,37,415
mgval_0.50_10D,38,30
mgval_0.50_10D,39,0
mgval_0.50_10D,40,358
mgval_0.50_10D,41,213
mgval_0.50_10D,42,135
mgval_0.50_10D,43,228
mgval_0.50_10D,44,123
mgval_0.50_10D,45,93
mgval_0.50_10D,46,0
mgval_0.50_10D,47,91
mgval_0.50_10D,48,24
mgval_0.50_10D,49,64
mgval_0.50_10D,50,47
DI-NEARP-n240-Q8k,1,1846
DI-NEARP-n240-Q8k,2,188
DI-NEARP-n240-Q8k,3,28172
DI-NEARP-n240-Q8k,4,0
DI-NEARP-n240-Q8k,5,0
DI-NEARP-n240-Q8k,6,1878
DI-NEARP-n240-Q8k,7,0
DI-NEARP-n240-Q8k,8,16754
DI-NEARP-n240-Q8k,9,19066
DI-NEARP-n240-Q8k,10,29796
DI-NEARP-n240-Q8k,11,294
DI-NEARP-n240-Q8k,12,8496
DI-NEARP-n240-Q8k,13,448
DI-NEARP-n240-Q8k,14,24306
DI-NEARP-n240-Q8k,15,554
DI-NEARP-n240-Q8k,16,16346
DI-NEARP-n240-Q8k,17,0
DI-NEARP-n240-Q8k,18,1802
DI-NEARP-n240-Q8k,19,5510
DI-NEARP-n240-Q8k,20,960
DI-NEARP-n240-Q8k,21,1670
DI-NEARP-n240-Q8k,22,1518
DI-NEARP-n240-Q8k,23,4880
DI-NEARP-n240-Q8k,24,2986
DI-NEARP-n240-Q8k,25,25708
DI-NEARP-n240-Q8k,26,7484
DI-NEARP-n240-Q8k,27,4108
DI-NEARP-n240-Q8k,28,1122
DI-NEARP-n240-Q8k,29,180
DI-NEARP-n240-Q8k,30,12374
DI-NEARP-n240-Q8k,31,0
DI-NEARP-n240-Q8k,32,840
DI-NEARP-n240-Q8k,33,0
DI-NEARP-n240-Q8k,34,494
DI-NEARP-n240-Q8k,35,7196
DI-NEARP-n240-Q8k,36,4486
DI-NEARP-n240-Q8k,37,0
DI-NEARP-n240-Q8k,38,20778
DI-NEARP-n240-Q8k,39,1392
DI-NEARP-n240-Q8k,40,1380
DI-NEARP-n240-Q8k,41,2994
DI-NEARP-n240-Q8k,42,5618
DI-NEARP-n240-Q8k,43,0
DI-NEARP-n240-Q8k,44,14436
DI-NEARP-n240-Q8k,45,4452
DI-NEARP-n240-Q8k,46,0
DI-NEARP-n240-Q8k,47,5668
DI-NEARP-n240-Q8k,48,3082
DI-NEARP-n240-Q8k,49,10322
DI-NEARP-n240-Q8k,50,7014
DI-NEARP-n240-Q8k,51,12
DI-NEARP-n240-Q8k,52,284
DI-NEARP-n240-Q8k,53,1198
DI-NEARP-n240-Q8k,54,730
DI-NEARP-n240-Q8k,55,6438
DI-NEARP-n240-Q8k,56,0
DI-NEARP-n240-Q8k,57,828
DI-NEARP-n240-Q8k,58,0
DI-NEARP-n240-Q8k,59,5200
DI-NEARP-n240-Q8k,60,10306
DI-NEARP-n240-Q8k,61,7108
DI-NEARP-n240-Q8k,62,0
DI-NEARP-n240-Q8k,63,15756
DI-NEARP-n240-Q8k,64,9078
DI-NEARP-n240-Q8k,65,8
DI-NEARP-n240-Q8k,66,98
DI-NEARP-n240-Q8k,67,7188
DI-NEARP-n240-Q8k,68,2914
DI-NEARP-n240-Q8k,69,0
DI-NEARP-n240-Q8k,70,4818
DI-NEARP-n240-Q8k,71,5720
